Date,Close
2026-06-08,301.54
2026-06-09,290.55
2026-06-10,291.58
2026-06-11,295.63
2026-06-12,291.13
2026-06-15,296.42
2026-06-16,299.24
2026-06-17,295.95
2026-06-18,298.01
2026-06-22,297.01
2026-06-23,294.3
2026-06-24,293.08
2026-06-25,275.15
2026-06-26,283.78
2026-06-29,281.74
2026-06-30,289.36
2026-07-01,294.38
2026-07-02,308.63
2026-07-06,312.66
2026-07-07,310.66
2026-07-08,313.39
2026-07-09,316.22
2026-07-10,315.32
2026-07-13,317.31
2026-07-14,314.86
2026-07-15,327.5
2026-07-16,333.26
2026-07-17,333.74
2026-07-20,326.59
2026-07-21,327.74
2026-07-22,325.89
2026-07-23,321.66
2026-07-24,333.02
2026-07-27,336.91
2026-07-28,340.08
2026-07-29,338.19
2026-07-30,333.43
2026-07-31,308.91
2026-08-03,303.42
