Date,Close
2026-06-08,949.28
2026-06-09,935.89
2026-06-10,891.88
2026-06-11,995.87
2026-06-12,981.61
2026-06-15,1087.99
2026-06-16,1020.76
2026-06-17,1043.19
2026-06-18,1133.99
2026-06-22,1211.38
2026-06-23,1051.77
2026-06-24,1048.51
2026-06-25,1213.56
2026-06-26,1132.33
2026-06-29,1145.28
2026-06-30,1154.29
2026-07-01,1032.28
2026-07-02,975.56
2026-07-06,984.75
2026-07-07,938.38
2026-07-08,948.8
2026-07-09,991.64
2026-07-10,979.3
2026-07-13,937.0
2026-07-14,983.12
2026-07-15,904.28
2026-07-16,853.2
2026-07-17,848.95
2026-07-20,865.46
2026-07-21,970.82
2026-07-22,959.48
2026-07-23,990.21
2026-07-24,920.95
2026-07-27,900.2
2026-07-28,820.53
2026-07-29,739.0
2026-07-30,874.66
2026-07-31,823.03
2026-08-03,829.5
2026-08-04,892.67
