Date,Close
2026-06-08,295500.0
2026-06-09,322000.0
2026-06-10,302500.0
2026-06-11,299000.0
2026-06-12,322500.0
2026-06-15,337000.0
2026-06-16,343000.0
2026-06-17,346500.0
2026-06-18,362500.0
2026-06-19,354000.0
2026-06-22,353500.0
2026-06-23,310000.0
2026-06-24,340500.0
2026-06-25,358500.0
2026-06-26,339500.0
2026-06-29,323000.0
2026-06-30,334000.0
2026-07-01,314500.0
2026-07-02,286000.0
2026-07-03,309500.0
2026-07-06,318000.0
2026-07-07,296000.0
2026-07-08,277500.0
2026-07-09,278000.0
2026-07-10,285000.0
2026-07-13,254500.0
2026-07-14,263000.0
2026-07-15,279500.0
2026-07-16,255000.0
2026-07-20,244000.0
2026-07-21,259000.0
2026-07-22,260500.0
2026-07-23,270000.0
2026-07-24,249500.0
2026-07-27,254000.0
2026-07-28,220000.0
2026-07-29,208500.0
2026-07-30,207000.0
2026-07-31,262500.0
2026-08-03,239500.0
2026-08-04,238750.0
