Date,Close
2026-06-08,1911000.0
2026-06-09,2215000.0
2026-06-10,2048000.0
2026-06-11,2101000.0
2026-06-12,2150000.0
2026-06-15,2288000.0
2026-06-16,2382000.0
2026-06-17,2521000.0
2026-06-18,2685000.0
2026-06-19,2764000.0
2026-06-22,2919000.0
2026-06-23,2555000.0
2026-06-24,2580000.0
2026-06-25,2917000.0
2026-06-26,2673000.0
2026-06-29,2628000.0
2026-06-30,2650000.0
2026-07-01,2560000.0
2026-07-02,2187000.0
2026-07-03,2425000.0
2026-07-06,2343000.0
2026-07-07,2201000.0
2026-07-08,2076000.0
2026-07-09,2186000.0
2026-07-10,2180000.0
2026-07-13,1845000.0
2026-07-14,1913000.0
2026-07-15,2082000.0
2026-07-16,1842000.0
2026-07-20,1764000.0
2026-07-21,1836000.0
2026-07-22,1830000.0
2026-07-23,1919000.0
2026-07-24,1759000.0
2026-07-27,1816000.0
2026-07-28,1550000.0
2026-07-29,1401000.0
2026-07-30,1322000.0
2026-07-31,1718000.0
2026-08-03,1567000.0
2026-08-04,1567000.0
