Date,Close
2026-06-08,265.47
2026-06-09,285.04
2026-06-10,289.11
2026-06-11,303.12
2026-06-12,303.92
2026-06-15,319.98
2026-06-16,319.0
2026-06-17,351.0
2026-06-18,360.0
2026-06-22,372.74
2026-06-23,371.72
2026-06-24,383.0
2026-06-25,399.13
2026-06-26,413.0
2026-06-29,456.69
2026-06-30,468.5
2026-07-01,462.0
2026-07-02,408.9
2026-07-03,413.69
2026-07-06,420.0
2026-07-07,420.04
2026-07-08,423.0
2026-07-09,471.59
2026-07-10,434.51
2026-07-13,408.6
2026-07-14,405.3
2026-07-15,391.29
2026-07-16,361.42
2026-07-17,350.69
2026-07-20,342.5
2026-07-21,407.89
2026-07-22,392.99
2026-07-23,375.2
2026-07-24,388.5
2026-07-27,399.77
2026-07-28,383.0
2026-07-29,360.0
2026-07-30,346.5
2026-07-31,344.0
2026-08-03,309.85
2026-08-04,317.74
2026-08-05,361.0
